,rank,company,percent,region,continent,Alpha-2 code,English short name lower case,Alpha-3 code,Numeric code,ISO 3166-2
96,82,AP Moller (Maersk),0.11,Europe,EU,DK,Denmark,DNK,208,ISO 3166-2:DK
97,83,Banpu Public Co Ltd,0.11,Asia,AS,TH,Thailand,THA,764,ISO 3166-2:TH
34,84,EOG Resources Inc,0.11,North America,,US,United States,USA,840,ISO 3166-2:US
35,85,Husky Energy Inc,0.11,North America,,US,United States,USA,840,ISO 3166-2:US
67,86,Kideco Jaya Agung PT,0.1,Asia,AS,ID,Indonesia,IDN,360,ISO 3166-2:ID
98,87,Bahrain Petroleum Co (BAPCO),0.1,Asia,AS,BH,Bahrain,BHR,48,ISO 3166-2:BH
36,88,Westmoreland Coal Co,0.1,North America,,US,United States,USA,840,ISO 3166-2:US
37,89,Cloud Peak Energy Inc,0.1,North America,,US,United States,USA,840,ISO 3166-2:US
38,90,Chesapeake Energy Corp,0.1,North America,,US,United States,USA,840,ISO 3166-2:US
86,91,Drummond Co,0.09,Latin America,SA,CO,Colombia,COL,170,ISO 3166-2:CO
91,92,Teck Resources Ltd,0.09,North America,,CA,Canada,CAN,124,ISO 3166-2:CA
80,93,Turkmennebit,0.07,Asia,AS,TM,Turkmenistan,TKM,795,ISO 3166-2:TM
99,94,OMV AG,0.06,Europe,EU,AT,Austria,AUT,40,ISO 3166-2:AT
39,95,Noble Energy Inc,0.06,North America,,US,United States,USA,840,ISO 3166-2:US
40,96,Murphy Oil Corp,0.06,North America,,US,United States,USA,840,ISO 3166-2:US
68,97,Berau Coal Energy Tbk PT,0.06,Asia,AS,ID,Indonesia,IDN,360,ISO 3166-2:ID
69,98,Bukit Asam (Persero) Tbk PT,0.05,Asia,AS,ID,Indonesia,IDN,360,ISO 3166-2:ID
70,99,Indika Energy Tbk PT,0.04,Asia,AS,ID,Indonesia,IDN,360,ISO 3166-2:ID
41,100,Southwestern Energy Co,0.04,North America,,US,United States,USA,840,ISO 3166-2:US
